2025-06-27 00:00:11,377 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.3774350Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:11,592 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.5921070Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:11,597 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.5979400Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:11,780 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.7801360Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:11,782 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.7820760Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:11,988 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.9881110Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:11,990 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.9900440Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:12,192 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.1920320Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:12,194 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.1946580Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:12,391 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.3910630Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:12,395 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.3956710Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:12,594 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.5947630Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:12,597 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.5974790Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:12,813 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.8131220Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:12,815 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:12.8159530Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:13,204 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:13.2036360Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:13,274 [17] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:13.2745640Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:13,520 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:13.5201070Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:13,525 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:13.5252240Z, Method: GET, Path: /notificationhub, User: Anonymous
